car_ID,CarName,wheelbase,carlength,carwidth,carheight,curbweight
1,alfa-romero giulia,88.6,168.8,64.1,48.8,2548
2,alfa-romero stelvio,88.6,168.8,64.1,48.8,2548
3,alfa-romero Quadrifoglio,94.5,171.2,65.5,52.4,2823
4,audi 100 ls,99.8,176.6,66.2,54.3,2337
5,audi 100ls,99.4,176.6,66.4,54.3,2824
6,audi fox,99.8,177.3,66.3,53.1,2507
7,audi 100ls,105.8,192.7,71.4,55.7,2844
8,audi 5000,105.8,192.7,71.4,55.7,2954
9,audi 4000,105.8,192.7,71.4,55.9,3086
10,audi 5000s (diesel),99.5,178.2,67.9,52,3053
11,bmw 320i,101.2,176.8,64.8,54.3,2395
12,bmw 320i,101.2,176.8,64.8,54.3,2395
13,bmw x1,101.2,176.8,64.8,54.3,2710
14,bmw x3,101.2,176.8,64.8,54.3,2765
15,bmw z4,103.5,189,66.9,55.7,3055
16,bmw x4,103.5,189,66.9,55.7,3230
17,bmw x5,103.5,193.8,67.9,53.7,3380
18,bmw x3,110,197,70.9,56.3,3505
19,chevrolet impala,88.4,141.1,60.3,53.2,1488
20,chevrolet monte carlo,94.5,155.9,63.6,52,1874
21,chevrolet vega 2300,94.5,158.8,63.6,52,1909
22,dodge rampage,93.7,157.3,63.8,50.8,1876
23,dodge challenger se,93.7,157.3,63.8,50.8,1876
24,dodge d200,93.7,157.3,63.8,50.8,2128
25,dodge monaco (sw),93.7,157.3,63.8,50.6,1967
26,dodge colt hardtop,93.7,157.3,63.8,50.6,1989
27,dodge colt (sw),93.7,157.3,63.8,50.6,1989
28,dodge coronet custom,93.7,157.3,63.8,50.6,2191
29,dodge dart custom,103.3,174.6,64.6,59.8,2535
30,dodge coronet custom (sw),95.9,173.2,66.3,50.2,2811
31,honda civic,86.6,144.6,63.9,50.8,1713
32,honda civic cvcc,86.6,144.6,63.9,50.8,1819
33,honda civic,93.7,150,64,52.6,1837
34,honda accord cvcc,93.7,150,64,52.6,1940
35,honda civic cvcc,93.7,150,64,52.6,1956
36,honda accord lx,96.5,163.4,64,54.5,2010
37,honda civic 1500 gl,96.5,157.1,63.9,58.3,2024
38,honda accord,96.5,167.5,65.2,53.3,2236
39,honda civic 1300,96.5,167.5,65.2,53.3,2289
